user ids,Gender,Age,selected items,Items Count,Budget,Spend,Session Duration,Fruits,Grains,Dairy,Vegetables,Meat,Baby Care,Beverages,Health & Beauty,Pasta,Oils,Frozen Meals,Spreads,Sweets,Breakfast,Dairy Alternatives,Snacks,Household,Instant Meals,Supplements,Bakery,Protein,Condiments,Cereal,Frozen Dessert,Breakfast Cereals,Healthy,Calories,Fat,Carbs,Proteins
102,male,50,"[14, 38, 11, 10, 12, 24, 19, 20]",8,1000.0,955.66,16.56971,1.0,1.0,,2.0,,,,,,,,,,,,,3.0,,,,1.0,,,,,0,408.0,6.4,76.0,18.2
40,male,22,"[2, 6, 5, 3, 4]",5,1000.0,498.07,13.102039,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,511.0,5.6,74.0,42.3
40,male,22,"[2, 5, 24, 3, 4, 23]",6,1000.0,926.66,19.895898,1.0,1.0,,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,0,493.0,5.4,70.0,41.3
40,male,22,"[2, 5, 48, 3, 4, 47, 23, 46, 44, 45]",10,10000.0,8943.7,30.060452,1.0,1.0,,1.0,1.0,5.0,,,,,,,,,,,1.0,,,,,,,,,0,493.0,5.4,70.0,41.3
40,male,23,"[9, 11, 10, 12, 8]",5,1000.0,430.02,168.761038,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,0,367.0,8.8,54.0,26.2
123,male,33,"[6, 5, 9, 8, 7]",5,1000.0,448.25,10.082914,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,0,548.0,12.2,83.0,30.0
123,male,33,"[6, 5, 9, 11, 10, 12, 8, 7]",8,1000.0,699.91,10.207756,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,0,735.0,18.0,110.0,42.2
123,male,33,"[6, 5, 9, 11, 10, 8, 7]",7,1000.0,609.56,31.29369,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,0,673.0,17.8,95.0,41.0
234,male,324,"[2, 1, 3]",3,1000.0,268.73,12.82663,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,0,180.0,1.1,44.0,3.6
232,male,34,"[6, 5, 9, 8, 7, 3, 4]",7,1000.0,806.17,11.883974,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,736.0,16.2,86.0,63.0
